S/N,statecode,statename,capitalcity,geozone,longitude,latitude,No of Registered voters,No of Collected PVCs,No of PVCs not collected,Coordinate
1,AB,Abia,Umuahia,South East,7.404417992,6.012404442,1932892,1729943,202949,"6.012404442,7.404417992"
2,AD,Adamawa,Yola,North East,13.58546628,10.94946098,1973083,1788706,184377,"10.94946098,13.58546628"
3,AK,Akwa Ibom,Uyo,South South,7.710626125,5.519352913,2119727,1933362,186365,"5.519352913,7.710626125"
4,AN,Anambra,Awka,South East,6.932539463,6.710898399,2447996,2071714,376282,"6.710898399,6.932539463"
5,BA,Bauchi,Bauchi,North East,10.65128464,12.5293524,2462843,2335717,127126,"12.5293524,10.65128464"
6,BE,Benue,Makurdi,North Central,8.841858864,8.067085266,923182,769509,153673,"8.067085266,8.841858864"
7,BR,Borno,Maiduguri,North East,12.66343609,13.28722091,2480131,2244376,235755,"13.28722091,12.66343609"
8,BY,Bayelsa,Yenagoa,South South,6.552827835,5.379875183,2315956,2000228,315728,"5.379875183,6.552827835"
9,CR,Cross River,Calabar,South South,8.848406792,6.865565777,1527289,1387314,139975,"6.865565777,8.848406792"
10,DE,Delta,Asaba,South South,6.668920994,6.501234055,2845274,2470924,374350,"6.501234055,6.668920994"
11,EB,Ebonyi,Abakaliki,South East,8.244310379,6.78559494,1459933,1299048,160885,"6.78559494,8.244310379"
12,ED,Edo,Benin City,South South,6.133570671,7.552076817,2210534,1726738,483796,"7.552076817,6.133570671"
13,EK,Ekiti,Ado,South West,5.505934715,8.018686295,909967,666591,243376,"8.018686295,5.505934715"
14,EN,Enugu,Enugu,South East,7.674552917,6.855517387,1944016,1787537,156479,"6.855517387,7.674552917"
15,FC,"Fct, Abuja",Abuja,North Central,7.692970025,9.349402783,1344856,1026920,317936,"9.349402783,7.692970025"
16,GO,Gombe,Gombe,North East,11.20087576,11.17509038,1394393,1335223,59170,"11.17509038,11.20087576"
17,IM,Imo,Owerri,South East,7.264627457,5.932304382,2272293,1702178,570115,"5.932304382,7.264627457"
18,JI,Jigawa,Dutse,North West,10.22558111,13.0102,2111106,1625721,485385,"13.0102,10.22558111"
19,KB,Kebbi,Birnin Kebbi,North West,4.457422615,13.18262222,3932492,3648831,283661,"13.18262222,4.457422615"
20,KD,Kaduna,Kaduna,North West,8.102155055,11.52327987,5457747,4696747,761000,"11.52327987,8.102155055"
21,KN,Kano,Kano,North West,8.299041274,12.52953443,3230230,3187988,42242,"12.52953443,8.299041274"
22,KO,Kogi,Lokoja,North Central,6.515514545,8.394266547,1806231,1718180,88051,"8.394266547,6.515514545"
23,KT,Katsina,Katsina,North West,8.39328133,13.10161264,1646350,1435751,210599,"13.10161264,8.39328133"
24,KW,Kwara,Ilorin,North Central,3.715393782,10.08939934,1406457,1149969,256488,"10.08939934,3.715393782"
25,LA,Lagos,Lagos,South West,3.317112923,6.667160511,6570291,5531389,1038902,"6.667160511,3.317112923"
26,NA,Nasarawa,Lafia,North Central,7.792929649,9.275596619,1617786,1442184,175602,"9.275596619,7.792929649"
27,NI,Niger,Minna,North Central,4.935756771,11.36634613,2390035,2173204,216831,"11.36634613,4.935756771"
28,OG,Ogun,Abeokuta,South West,2.846128464,7.929880142,2375003,1694867,680136,"7.929880142,2.846128464"
29,ON,Ondo,Akure,South West,5.926039696,7.731815338,1822346,1478460,343886,"7.731815338,5.926039696"
30,OS,Osun,Oshogbo,South West,4.949749947,8.055476189,1680498,1266587,413911,"8.055476189,4.949749947"
31,OY,Oyo,Ibandan,South West,4.210460186,8.970032692,2934107,2176352,757755,"8.970032692,4.210460186"
32,PL,Plateau,Jos,North Central,8.851674164,10.36438251,2480455,2095409,385046,"10.36438251,8.851674164"
33,RI,Rivers,Port Harcourt,South South,6.712041855,5.48919487,3215273,2833101,382172,"5.48919487,6.712041855"
34,SO,Sokoto,Sokoto,North West,5.923481299,13.73622004,1903166,1726887,176279,"13.73622004,5.923481299"
35,TA,Taraba,Jalingo,North East,11.02739811,9.549074173,1777105,1729094,48011,"9.549074173,11.02739811"
36,YO,Yobe,Damaturu,North East,10.9066658,13.37249947,1365913,1261914,103999,"13.37249947,10.9066658"
37,ZA,Zamfara,Gusau,North West,6.3369,13.1686,1717128,1626839,90289,"13.1686,6.3369"
